source1_entity_id	candidate_entity_ids
S1-800915873	S2-151698687,S2-164391304,S2-229299111,S2-339737852,S2-573923282,S2-633715776,S2-638319392,S2-688791856,S2-737745236,S2-756444636,S2-782555973,S2-897210370,S2-924787500,S2-566552306,S2-601142325,S2-637675946,S2-870351639,S2-649225076,S2-834818473,S2-91468451,S2-101109194,S2-123315323,S2-145055400,S2-147515638,S2-150993641,S2-190155015,S2-239600027,S2-249549757,S2-253545928,S2-276751254,S2-303257220,S2-332429764,S2-343070727,S2-389698795,S2-417090507,S2-486931364,S2-577731258,S2-587601505,S2-624655882,S2-638920207
S1-476083068	S2-282503219,S2-451812463,S2-686350780,S2-548380943,S2-1669033,S2-452572748,S2-549958635,S2-641067354,S2-10136142,S2-139236703,S2-15970945,S2-170545804,S2-299862740,S2-368200009,S2-444043944,S2-533567574,S2-55489861,S2-58523195,S2-692578009,S2-794545111,S2-830671036,S2-877414122,S2-900842217,S2-995223851,S2-109239798,S2-163510036,S2-21551751,S2-222357525,S2-303743808,S2-363154872,S2-458337142,S2-500771794,S2-581348968,S2-686847373,S2-103090571,S2-113964806,S2-119656010,S2-150245164,S2-159206167,S2-171712711
S1-298645743	S2-847374839,S2-118730390,S2-137030548,S2-138117262,S2-154397073,S2-155322370,S2-161592048,S2-179344254,S2-185148108,S2-233414831,S2-337705810,S2-353306250,S2-353940050,S2-368003367,S2-431596819,S2-440543825,S2-443510447,S2-452208391,S2-486810239,S2-519912199,S2-5390612,S2-565305569,S2-573319079,S2-584619937,S2-601199370,S2-639677389,S2-666612729,S2-701706778,S2-717702900,S2-733593008,S2-742235942,S2-761037233,S2-789711070,S2-790711753,S2-795077160,S2-825957189,S2-830797725,S2-852713078,S2-93542945,S2-947593661
S1-900223558	S2-148625384,S2-17215225,S2-216722407,S2-262483358,S2-342561707,S2-373031030,S2-523255319,S2-594836482,S2-60414634,S2-62021493,S2-695149890,S2-746975771,S2-774162525,S2-779081152,S2-819203982,S2-974796269,S2-986187738,S2-213486204,S2-730334340,S2-114810075,S2-118002348,S2-158399201,S2-194013652,S2-210017307,S2-229807095,S2-244546798,S2-245909245,S2-369776338,S2-387902144,S2-420995032,S2-449967593,S2-480245126,S2-52340186,S2-534498508,S2-55155187,S2-605970687,S2-609856602,S2-61436897,S2-640542998,S2-687156547
S1-902711336	S2-109321026,S2-152947987,S2-16277535,S2-177348709,S2-234982389,S2-252729569,S2-26780242,S2-286533228,S2-304608282,S2-406817429,S2-442287139,S2-477020225,S2-666813005,S2-684749498,S2-776531851,S2-799474562,S2-804865446,S2-851098073,S2-963284424,S2-259858270,S2-688743579,S2-531426283,S2-775031735,S2-826444421,S2-884534513,S2-173181959,S2-196866972,S2-232194015,S2-310363235,S2-996880116,S2-17446939,S2-222005991,S2-285160403,S2-375296354,S2-821708358,S2-9088397,S2-961346128,S2-100494049,S2-101008327,S2-101730549
S1-855700872	S2-649687413,S2-116748146,S2-140943290,S2-181056636,S2-192450979,S2-212731071,S2-269725629,S2-28846697,S2-29736253,S2-339678785,S2-349595284,S2-387404383,S2-422319749,S2-428179641,S2-618264609,S2-619827407,S2-630839731,S2-697813993,S2-701633263,S2-766252263,S2-830419247,S2-866940035,S2-903415969,S2-906656301,S2-944274629,S2-101819164,S2-104896081,S2-105547812,S2-106248676,S2-113081746,S2-116164313,S2-117969335,S2-118339592,S2-118550245,S2-122785362,S2-124970234,S2-126644390,S2-128203835,S2-133763910,S2-134434670
S1-294553406	S2-490404199,S2-126700325,S2-135133357,S2-159924049,S2-208221365,S2-217259737,S2-242544151,S2-246176927,S2-27584617,S2-281829669,S2-298325802,S2-315505542,S2-317094966,S2-318518849,S2-333930596,S2-337295888,S2-338866041,S2-344591721,S2-352552540,S2-355967072,S2-39160782,S2-417333492,S2-418417922,S2-426053906,S2-447737527,S2-448608167,S2-492029372,S2-493086210,S2-504642065,S2-513255133,S2-528385753,S2-532780785,S2-536174758,S2-563616086,S2-656020279,S2-67863065,S2-687042674,S2-693874425,S2-707575978,S2-738415046
S1-382018301	S2-278408495,S2-626967383,S2-104836421,S2-218466900,S2-29906625,S2-354219652,S2-394952114,S2-404710010,S2-454492619,S2-516061123,S2-60464976,S2-699788577,S2-72897582,S2-757702542,S2-834748990,S2-836050391,S2-874095525
S1-382930093	S2-114971268,S2-124024723,S2-127340374,S2-147509105,S2-165271705,S2-165350708,S2-173394919,S2-180447643,S2-185537657,S2-205288146,S2-208651496,S2-250090156,S2-267223916,S2-274109622,S2-277444929,S2-282834824,S2-288895558,S2-294638554,S2-296830281,S2-300373097,S2-300957446,S2-313048014,S2-319771268,S2-330974580,S2-333300862,S2-370549501,S2-434043362,S2-48289976,S2-504845030,S2-508443778,S2-513452847,S2-527665947,S2-528320338,S2-540664307,S2-57046353,S2-57560168,S2-583442963,S2-616557920,S2-622137849,S2-640975264
S1-780690767	S2-710163149,S2-177271859,S2-155282424,S2-173128402,S2-188674998,S2-195715181,S2-227644483,S2-23668359,S2-240228506,S2-244495639,S2-256954735,S2-277362399,S2-291498350,S2-305639639,S2-350981208,S2-360938456,S2-373681919,S2-399064680,S2-405921709,S2-43091282,S2-444570372,S2-455830445,S2-484116513,S2-485525377,S2-486154466,S2-488526649,S2-489472113,S2-521810841,S2-527996127,S2-548183111,S2-556525059,S2-566738522,S2-608036071,S2-62751741,S2-666282042,S2-676164029,S2-692100554,S2-704891486,S2-707016728,S2-710345934
S1-176371732	S2-155322370,S2-259895637,S2-265085970,S2-30720967,S2-652875980,S2-691319729,S2-724288437,S2-797305415,S2-841987081,S2-931606334,S2-960891051,S2-973292523,S2-979615453,S2-108347196,S2-108740437,S2-110855273,S2-116942608,S2-129436480,S2-14102665,S2-14589566,S2-159699011,S2-168302230,S2-169408572,S2-172597897,S2-176599109,S2-184768987,S2-187760869,S2-189485488,S2-199985060,S2-201379687,S2-20665708,S2-219403639,S2-220286148,S2-220405948,S2-222687303,S2-225227362,S2-226567568,S2-232653448,S2-233296947,S2-239693264
S1-785203518	S2-580358209,S2-700068876,S2-52423309,S2-62315481,S2-157245246,S2-175729123,S2-334032034,S2-3718656,S2-411562965,S2-421126862,S2-484638236,S2-731813764,S2-763663684,S2-100706365,S2-104665967,S2-109908222,S2-111671984,S2-113656688,S2-117150311,S2-117962152,S2-12066237,S2-121115280,S2-123204923,S2-127525442,S2-132796698,S2-133513139,S2-139599437,S2-144002220,S2-144579100,S2-144636346,S2-145773778,S2-148491058,S2-151514283,S2-157842177,S2-159472146,S2-16075678,S2-17260257,S2-175595331,S2-180408468,S2-180521991
S1-596743118	S2-155282424,S2-173128402,S2-177271859,S2-188674998,S2-195715181,S2-227644483,S2-23668359,S2-240228506,S2-244495639,S2-256954735,S2-277362399,S2-291498350,S2-305639639,S2-350981208,S2-360938456,S2-373681919,S2-399064680,S2-405921709,S2-43091282,S2-444570372,S2-455830445,S2-484116513,S2-485525377,S2-486154466,S2-488526649,S2-489472113,S2-521810841,S2-527996127,S2-548183111,S2-556525059,S2-566738522,S2-608036071,S2-62751741,S2-666282042,S2-676164029,S2-692100554,S2-704891486,S2-707016728,S2-710163149,S2-710345934
S1-570889630	S2-924787500,S2-151698687,S2-164391304,S2-229299111,S2-339737852,S2-573923282,S2-633715776,S2-638319392,S2-688791856,S2-737745236,S2-756444636,S2-782555973,S2-897210370,S2-566552306,S2-601142325,S2-637675946,S2-870351639,S2-649225076,S2-834818473,S2-663409014,S2-91468451,S2-168008728,S2-19884353,S2-243092207,S2-307443980,S2-458337142,S2-62862547,S2-853287634,S2-101109194,S2-104464839,S2-106908241,S2-107111824,S2-108993601,S2-110746500,S2-112436185,S2-113602947,S2-113907407,S2-121251263,S2-121359254,S2-12172826
S1-610162639	S2-40746806,S2-118323960,S2-146607525,S2-148944359,S2-164282227,S2-191012952,S2-194684055,S2-218152188,S2-23289835,S2-257885603,S2-278269475,S2-283090560,S2-302833544,S2-332357109,S2-363019584,S2-397984391,S2-413287299,S2-444467356,S2-489456445,S2-503770292,S2-508788813,S2-52916666,S2-533194060,S2-541557199,S2-585271843,S2-602806644,S2-619844913,S2-622693072,S2-634617479,S2-638614359,S2-693602144,S2-723407043,S2-726357829,S2-729238008,S2-77012782,S2-789332944,S2-793689201,S2-824168138,S2-846206060,S2-884246624
